time,signal
0.000,0.323
0.001,0.310
0.002,0.295
0.003,0.278
0.004,0.267
0.005,0.255
0.006,0.244
0.007,0.233
0.008,0.217
0.009,0.201
0.010,0.181
0.011,0.159
0.012,0.134
0.013,0.108
0.014,0.080
0.015,0.050
0.016,0.018
0.017,-0.014
0.018,-0.046
0.019,-0.078
0.020,-0.107
0.021,-0.133
0.022,-0.156
0.023,-0.176
0.024,-0.194
0.025,-0.210
0.026,-0.223
0.027,-0.233
0.028,-0.241
0.029,-0.247
0.030,-0.252
0.031,-0.255
0.032,-0.256
0.033,-0.254
0.034,-0.252
0.035,-0.247
0.036,-0.241
0.037,-0.233
0.038,-0.222
0.039,-0.211
0.040,-0.198
0.041,-0.183
0.042,-0.167
0.043,-0.150
0.044,-0.132
0.045,-0.113
0.046,-0.094
0.047,-0.074
0.048,-0.054
0.049,-0.034
0.050,-0.014
0.051,0.007
0.052,0.030
0.053,0.053
0.054,0.076
0.055,0.098
0.056,0.119
0.057,0.138
0.058,0.155
0.059,0.170
0.060,0.182
0.061,0.191
0.062,0.198
0.063,0.201
0.064,0.200
0.065,0.198
0.066,0.192
0.067,0.185
0.068,0.177
0.069,0.167
0.070,0.157
0.071,0.146
0.072,0.135
0.073,0.122
0.074,0.108
0.075,0.093
0.076,0.077
0.077,0.059
0.078,0.040
0.079,0.020
0.080,-0.002
0.081,-0.024
0.082,-0.048
0.083,-0.072
0.084,-0.097
0.085,-0.121
0.086,-0.144
0.087,-0.164
0.088,-0.182
0.089,-0.198
0.090,-0.211
0.091,-0.222
0.092,-0.229
0.093,-0.235
0.094,-0.236
0.095,-0.236
0.096,-0.233
0.097,-0.228
0.098,-0.021
0.099,-0.013
0.100,-0.009
0.101,-0.007
0.102,-0.006
0.103,-0.006
0.104,-0.006
0.105,-0.005
0.106,-0.005
0.107,-0.005
0.108,-0.004
0.109,-0.003
0.110,-0.003
0.111,-0.003
0.112,-0.003
0.113,-0.003
0.114,-0.003
0.115,-0.003
0.116,-0.003
0.117,-0.003
0.118,-0.002
0.119,-0.002
0.120,-0.002
0.121,-0.002
0.122,-0.001
0.123,-0.001
0.124,-0.001
0.125,-0.001
0.126,-0.001
0.127,-0.001
0.128,-0.001
0.129,-0.000
0.130,-0.000
0.131,-0.000
0.132,-0.000
0.133,-0.000
0.134,-0.000
0.135,-0.000
0.136,-0.000
0.137,-0.000
0.138,-0.000
0.139,-0.000
0.140,-0.000
0.141,-0.000
0.142,-0.000
0.143,-0.000
0.144,-0.000
0.145,-0.000
0.146,-0.000
0.147,-0.000
0.148,-0.000
0.149,-0.000
0.150,-0.000
0.151,-0.000
0.152,-0.000
0.153,-0.000
0.154,-0.000
0.155,-0.000
0.156,-0.000
0.157,-0.000
0.158,-0.000
0.159,-0.000
0.160,-0.000
0.161,-0.000
0.162,-0.000
0.163,-0.000
0.164,-0.000
0.165,-0.000
0.166,-0.000
0.167,-0.000
0.168,-0.000
0.169,-0.000
0.170,-0.000
0.171,-0.000
0.172,-0.000
0.173,-0.000
0.174,-0.000
0.175,-0.000
0.176,-0.000
0.177,-0.000
0.178,-0.000
0.179,-0.000
0.180,-0.000
0.181,-0.000
0.182,-0.000
0.183,-0.000
0.184,-0.000
0.185,-0.000
0.186,-0.000
0.187,-0.000
0.188,-0.000
0.189,-0.000
0.190,-0.000
0.191,-0.000
0.192,-0.000
0.193,-0.000
0.194,-0.000
0.195,-0.000
0.196,-0.000
0.197,-0.000
0.198,-0.000
0.199,-0.000
0.200,0.042
0.201,0.087
0.202,0.128
0.203,0.166
0.204,0.199
0.205,0.227
0.206,0.249
0.207,0.263
0.208,0.271
0.209,0.271
0.210,0.267
0.211,0.258
0.212,0.245
0.213,0.230
0.214,0.212
0.215,0.192
0.216,0.171
0.217,0.149
0.218,0.126
0.219,0.103
