time,signal
0.000,0.435
0.001,0.452
0.002,0.498
0.003,0.462
0.004,0.445
0.005,0.396
0.006,0.373
0.007,0.367
0.008,0.332
0.009,0.279
0.010,0.211
0.011,0.195
0.012,0.156
0.013,0.127
0.014,0.052
0.015,0.045
0.016,0.039
0.017,-0.057
0.018,-0.084
0.019,-0.127
0.020,-0.193
0.021,-0.225
0.022,-0.248
0.023,-0.281
0.024,-0.308
0.025,-0.351
0.026,-0.386
0.027,-0.390
0.028,-0.422
0.029,-0.454
0.030,-0.458
0.031,-0.474
0.032,-0.502
0.033,-0.489
0.034,-0.494
0.035,-0.489
0.036,-0.521
0.037,-0.517
0.038,-0.519
0.039,-0.532
0.040,-0.551
0.041,-0.553
0.042,-0.555
0.043,-0.554
0.044,-0.550
0.045,-0.545
0.046,-0.541
0.047,-0.534
0.048,-0.522
0.049,-0.510
0.050,-0.495
0.051,-0.480
0.052,-0.463
0.053,-0.445
0.054,-0.428
0.055,-0.407
0.056,-0.385
0.057,-0.361
0.058,-0.337
0.059,-0.311
0.060,-0.281
0.061,-0.249
0.062,-0.215
0.063,-0.182
0.064,-0.145
0.065,-0.109
0.066,-0.074
0.067,-0.039
0.068,-0.002
0.069,0.035
0.070,0.072
0.071,0.110
0.072,0.148
0.073,0.187
0.074,0.224
0.075,0.262
0.076,0.297
0.077,0.329
0.078,0.362
0.079,0.390
0.080,0.336
0.081,0.441
0.082,0.465
0.083,0.486
0.084,0.505
0.085,0.422
0.086,0.439
0.087,0.654
0.088,0.565
0.089,0.573
0.090,0.680
0.091,0.683
0.092,0.586
0.093,0.586
0.094,0.586
0.095,0.687
0.096,0.686
0.097,0.683
0.098,0.680
0.099,0.575
0.100,0.566
0.101,0.624
0.102,0.518
0.103,0.528
0.104,0.510
0.105,0.489
0.106,0.466
0.107,0.442
0.108,0.413
0.109,0.385
0.110,0.355
0.111,0.324
0.112,0.393
0.113,0.363
0.114,0.334
0.115,0.305
0.116,0.278
0.117,0.249
0.118,0.721
0.119,0.695
0.120,0.668
0.121,0.641
0.122,0.614
0.123,0.586
0.124,0.558
0.125,0.529
0.126,0.500
0.127,0.472
0.128,0.446
0.129,0.417
0.130,0.391
0.131,0.366
0.132,0.342
0.133,0.318
0.134,0.292
0.135,0.270
0.136,0.247
0.137,0.224
0.138,0.202
0.139,0.179
0.140,0.158
0.141,0.137
0.142,0.119
0.143,0.100
0.144,0.085
0.145,0.071
0.146,0.059
0.147,0.048
0.148,0.042
0.149,0.036
0.150,0.033
0.151,0.031
0.152,0.033
0.153,0.035
0.154,0.039
0.155,0.043
0.156,0.049
0.157,0.058
0.158,0.070
0.159,0.085
0.160,0.101
0.161,0.621
0.162,0.642
0.163,0.663
0.164,0.686
0.165,0.712
0.166,0.740
0.167,0.766
0.168,0.793
0.169,0.819
0.170,0.846
0.171,0.872
0.172,0.900
0.173,0.929
0.174,0.955
0.175,0.984
0.176,1.013
0.177,1.041
0.178,1.070
0.179,1.099
0.180,1.028
0.181,0.959
0.182,0.887
0.183,0.815
0.184,0.742
0.185,0.669
0.186,0.595
0.187,0.523
0.188,0.449
0.189,0.375
0.190,0.300
0.191,0.224
0.192,0.147
0.193,0.669
0.194,0.591
0.195,0.410
0.196,0.428
0.197,0.444
0.198,0.460
0.199,0.473
0.200,0.486
