time,signal
0.000,0.570
0.001,0.548
0.002,0.521
0.003,0.476
0.004,0.481
0.005,0.453
0.006,0.423
0.007,0.391
0.008,0.352
0.009,0.306
0.010,0.261
0.011,0.219
0.012,0.179
0.013,0.140
0.014,0.102
0.015,0.058
0.016,0.020
0.017,-0.017
0.018,-0.054
0.019,-0.087
0.020,-0.123
0.021,-0.155
0.022,-0.188
0.023,-0.221
0.024,-0.254
0.025,-0.284
0.026,-0.312
0.027,-0.339
0.028,-0.367
0.029,-0.394
0.030,-0.419
0.031,-0.442
0.032,-0.462
0.033,-0.479
0.034,-0.494
0.035,-0.509
0.036,-0.521
0.037,-0.532
0.038,-0.539
0.039,-0.546
0.040,-0.551
0.041,-0.553
0.042,-0.555
0.043,-0.554
0.044,-0.550
0.045,-0.545
0.046,-0.541
0.047,-0.534
0.048,-0.522
0.049,-0.510
0.050,-0.495
0.051,-0.480
0.052,-0.463
0.053,-0.445
0.054,-0.428
0.055,-0.407
0.056,-0.385
0.057,-0.361
0.058,-0.337
0.059,-0.311
0.060,-0.281
0.061,-0.249
0.062,-0.215
0.063,-0.182
0.064,-0.145
0.065,-0.109
0.066,-0.074
0.067,-0.039
0.068,-0.002
0.069,0.035
0.070,0.072
0.071,0.110
0.072,0.148
0.073,0.187
0.074,0.224
0.075,0.262
0.076,0.297
0.077,0.329
0.078,0.362
0.079,0.390
0.080,0.416
0.081,0.441
0.082,0.465
0.083,0.486
0.084,0.505
0.085,0.522
0.086,0.539
0.087,0.554
0.088,0.565
0.089,0.573
0.090,0.580
0.091,0.583
0.092,1.854
0.093,1.124
0.094,0.586
0.095,0.587
0.096,0.586
0.097,0.583
0.098,0.580
0.099,0.575
0.100,0.566
0.101,0.556
0.102,0.544
0.103,0.528
0.104,0.510
0.105,0.489
0.106,0.466
0.107,0.442
0.108,0.413
0.109,0.385
0.110,0.355
0.111,0.324
0.112,0.293
0.113,0.263
0.114,0.234
0.115,0.205
0.116,0.178
0.117,0.149
0.118,0.121
0.119,0.095
0.120,0.068
0.121,0.041
0.122,0.014
0.123,-0.014
0.124,-0.042
0.125,-0.071
0.126,-0.100
0.127,-0.128
0.128,-0.154
0.129,-0.183
0.130,-0.209
0.131,-0.234
0.132,-0.258
0.133,-0.282
0.134,-0.308
0.135,-0.330
0.136,-0.353
0.137,-0.376
0.138,-0.398
0.139,-0.421
0.140,-0.442
0.141,-0.463
0.142,-0.481
0.143,-0.500
0.144,-0.515
0.145,-0.529
0.146,-0.541
0.147,-0.552
0.148,-0.558
0.149,-0.564
0.150,-0.567
0.151,-0.569
0.152,-0.567
0.153,-0.565
0.154,-0.561
0.155,-0.557
0.156,-0.551
0.157,-0.542
0.158,-0.530
0.159,-0.515
0.160,-0.499
0.161,-0.479
0.162,-0.458
0.163,-0.437
0.164,-0.414
0.165,-0.388
0.166,-0.360
0.167,-0.334
0.168,-0.307
0.169,-0.281
0.170,-0.254
0.171,-0.228
0.172,-0.200
0.173,-0.171
0.174,-0.145
0.175,-0.116
0.176,-0.087
0.177,-0.059
0.178,-0.030
0.179,-0.001
0.180,0.028
0.181,0.059
0.182,0.087
0.183,0.115
0.184,0.142
0.185,0.169
0.186,0.195
0.187,0.223
0.188,0.249
0.189,0.275
0.190,0.300
0.191,0.324
0.192,0.347
0.193,0.369
0.194,0.391
0.195,0.410
0.196,0.428
0.197,0.444
0.198,0.460
0.199,0.473
0.200,0.486
0.201,0.496
0.202,0.506
0.203,0.514
0.204,0.520
0.205,0.525
0.206,0.528
0.207,0.529
0.208,0.531
0.209,0.528
0.210,0.524
0.211,0.519
0.212,0.512
0.213,0.503
0.214,0.492
0.215,0.479
0.216,0.466
0.217,0.450
0.218,0.432
0.219,0.413
